xOrder_ID,Customer_ID,Customer_Name,Order_Date,Product,Quantity,Price,Discount,Total_Amount,Payment_Method,Shipping_Address,Status
1001,C004,Alice Brown,2023-05-21,Tablet,5,500,0.23,1925.0,Cryptocurrency,"San Francisco, CA",Pending
1002,C001,John Doe,2023-01-05,Printer,3,250,0.03,727.5,,"Los Angeles, CA",Returned
1003,C001,John Doe,2023-10-31,Smartwatch,3,200,0.23,462.0,,"Chicago, IL",Delivered
1004,C001,John Doe,2023-01-28,Smartwatch,5,200,0.16,840.0,Bank Transfer,"New York, NY",Pending
1005,C007,David Wilson,2023-01-22,Laptop,1,1200,0.14,1032.0,Credit Card,"Atlanta, GA",Cancelled
1006,C010,Sophia Anderson,2023-07-09,Phone,1,800,0.25,600.0,Credit Card,"Miami, FL",Returned
1007,C005,Charlie White,2023-03-27,Headphones,3,150,0.22,351.0,,"Seattle, WA",Pending
1008,C010,Sophia Anderson,2024-02-30,Monitor,5,300,0.23,1155.0,PayPal,"Miami, FL",Returned
1009,C002,Jane Smith,2023-09-10,Monitor,4,300,0.04,1152.0,Cryptocurrency,"San Francisco, CA",Shipped
1010,C007,,2023-11-26,Tablet,1,500,0.13,435.0,,"Boston, MA",Cancelled
1011,C007,David Wilson,2023-04-22,Printer,1,250,0.0,250.0,Cryptocurrency,"Denver, CO",Pending
1012,C009,James Taylor,2023-12-29,Tablet,5,500,0.29,1775.0,Credit Card,"New York, NY",Returned
1013,C004,Alice Brown,2023-07-21,Keyboard,2,100,0.06,188.0,Credit Card,"Chicago, IL",Cancelled
1014,C002,Jane Smith,2023-06-03,Camera,1,600,0.18,492.0,,"Los Angeles, CA",Cancelled
1015,C010,Sophia Anderson,2023-12-27,Mouse,4,50,0.41,118.0,,,Cancelled
1016,C009,James Taylor,2023-10-14,Headphones,2,150,0.03,291.0,Bank Transfer,,Cancelled
1017,C002,Jane Smith,2023-08-31,Laptop,5,1200,0.01,5940.0,Cryptocurrency,"San Francisco, CA",Delivered
1018,C009,James Taylor,2023-01-28,Keyboard,2,100,0.09,182.0,Bank Transfer,"Seattle, WA",Returned
1019,C001,John Doe,2023-05-01,Keyboard,4,100,0.28,288.0,PayPal,"Houston, TX",Cancelled
1020,C005,Charlie White,2023-05-19,Laptop,3,1200,0.2,2880.0,PayPal,"Atlanta, GA",Cancelled
1021,C002,Jane Smith,2023-07-03,Phone,2,800,0.29,1136.0,PayPal,"San Francisco, CA",Shipped
1021,C002,Jane Smith,2023-07-03,Phone,2,800,0.29,1136.0,PayPal,"San Francisco, CA",Shipped
1022,C003,Bob Johnson,2023-06-11,Smartwatch,3,200,0.23,462.0,PayPal,,Returned
1023,C004,Alice Brown,2023-10-06,Phone,3,800,0.21,1896.0,Credit Card,"Houston, TX",Delivered
1024,C009,James Taylor,2023-02-01,Printer,2,250,0.03,485.0,,"Chicago, IL",Shipped
1025,C010,Sophia Anderson,2023-11-06,Mouse,4,50,0.22,156.0,Cryptocurrency,"Denver, CO",Delivered
1026,C005,Charlie White,2023-02-04,Tablet,3,500,0.12,1320.0,Cryptocurrency,"Seattle, WA",Cancelled
1027,C007,David Wilson,2023-07-06,Monitor,2,300,0.16,504.0,Credit Card,,Returned
1028,C001,John Doe,2023-01-07,Camera,3,600,0.11,1602.0,Cryptocurrency,"New York, NY",Delivered
1029,C002,Jane Smith,2023-01-02,Printer,5,250,0.1,1125.0,Bank Transfer,,Delivered
1030,C005,Charlie White,2023-10-29,Laptop,4,1200,0.28,3456.0,PayPal,"Houston, TX",Shipped
1031,C004,Alice Brown,2023-04-02,Keyboard,2,100,0.12,176.0,Credit Card,"Denver, CO",Delivered
1032,C003,Bob Johnson,2023-06-27,Tablet,4,500,0.26,1480.0,,"Los Angeles, CA",Pending
1033,C009,James Taylor,2023-11-30,Tablet,3,500,0.07,1395.0,PayPal,"Houston, TX",Cancelled
1034,C006,Emma Davis,2023-02-02,Camera,2,600,0.25,900.0,Bank Transfer,"Miami, FL",Returned
1035,C006,Emma Davis,2023-07-05,Camera,2,600,0.11,1068.0,Bank Transfer,,Returned
1036,C005,Charlie White,2023-05-13,Headphones,3,150,0.06,423.0,Bank Transfer,"Houston, TX",Shipped
1037,C007,David Wilson,2023-03-31,Tablet,3,500,0.19,1215.0,PayPal,"Chicago, IL",Returned
1038,C002,Jane Smith,2023-11-13,Headphones,1,150,0.28,108.0,Cryptocurrency,"New York, NY",Shipped
1039,C003,Bob Johnson,2023-09-09,Keyboard,1,100,0.1,90.0,PayPal,"San Francisco, CA",Cancelled
1040,C005,Charlie White,2023-11-21,Mouse,5,50,0.19,202.5,Cryptocurrency,,Returned
1041,C005,Charlie White,2023-06-10,Monitor,4,300,0.38,744.0,,"Los Angeles, CA",Shipped
1042,C009,James Taylor,2023-05-09,Camera,1,600,0.03,582.0,PayPal,"Miami, FL",Cancelled
1043,C009,James Taylor,2023-05-08,Monitor,3,300,0.28,648.0,Credit Card,"Boston, MA",Pending
1044,C010,Sophia Anderson,2023-01-28,Headphones,2,150,0.16,252.0,Cryptocurrency,"Atlanta, GA",Delivered
1045,C008,Olivia Martinez,2023-07-28,Headphones,3,150,0.14,387.0,Cryptocurrency,"Boston, MA",Shipped
1046,C008,Olivia Martinez,2023-05-20,Laptop,5,1200,0.06,5640.0,Cryptocurrency,"Seattle, WA",Pending
1047,C009,James Taylor,2023-02-17,Camera,5,600,0.16,2520.0,Bank Transfer,"Houston, TX",Returned
1048,C003,Bob Johnson,2023-03-26,Smartwatch,1,200,0.19,162.0,PayPal,"Seattle, WA",Delivered
1049,C007,David Wilson,2023-07-12,Smartwatch,2,200,0.1,360.0,PayPal,"Miami, FL",Pending
1050,C010,Sophia Anderson,2023-05-21,Printer,3,250,0.14,645.0,Credit Card,"Atlanta, GA",Returned
1051,C001,John Doe,2023-07-19,Phone,1,800,0.01,792.0,Credit Card,"Miami, FL",Cancelled
1052,C005,Charlie White,2023-03-19,Keyboard,5,100,0.18,410.0,Credit Card,"Denver, CO",Pending
1053,C006,Emma Davis,2023-12-18,Smartwatch,5,200,0.18,820.0,Credit Card,"Seattle, WA",Delivered
1054,C005,Charlie White,2023-07-29,Phone,5,800,0.07,3720.0,Cryptocurrency,"New York, NY",Cancelled
1055,C009,James Taylor,2023-05-25,Smartwatch,4,200,0.27,584.0,Bank Transfer,"Denver, CO",Pending
1056,C004,Alice Brown,2023-09-04,Keyboard,2,100,0.17,166.0,Cryptocurrency,"Los Angeles, CA",Delivered
1057,C008,Olivia Martinez,2023-06-10,Phone,4,800,0.15,2720.0,PayPal,"Seattle, WA",Cancelled
1058,C009,James Taylor,2023-02-25,Monitor,1,300,0.29,213.0,Bank Transfer,"Los Angeles, CA",Cancelled
1059,C002,Jane Smith,2023-10-28,Mouse,4,50,0.29,142.0,PayPal,,Returned
1060,C004,Alice Brown,2023-10-07,Mouse,1,50,0.23,38.5,,,Shipped
1061,C009,James Taylor,2023-06-05,Tablet,3,500,0.13,1305.0,Bank Transfer,"Chicago, IL",Delivered
1062,C009,James Taylor,2023-05-19,Monitor,3,300,0.16,756.0,Cryptocurrency,"San Francisco, CA",Cancelled
1063,C002,Jane Smith,2023-03-25,Camera,1,600,0.12,528.0,Cryptocurrency,,Returned
1064,C007,David Wilson,2023-01-01,Printer,4,250,0.3,700.0,,"Miami, FL",Delivered
1065,C006,Emma Davis,2023-12-18,Laptop,3,1200,0.11,3204.0,Cryptocurrency,,Shipped
